City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,paphos,34.7667,32.4167,11.88,82,100,3.09,CY,1733104108
301,saynshand,44.8824,110.1163,-10.14,31,0,4.42,MN,1733104110
302,wamba,8.9333,8.6,21.35,35,68,1.31,NG,1733104111
303,namtsy,62.7161,129.6658,-25.51,96,100,0.86,RU,1733104112
304,bamboo flat,11.7,92.7167,28.05,78,40,1.03,IN,1733104113
305,quarai,-30.3875,-56.4514,19.05,95,100,2.86,BR,1733104115
306,hailey,43.5196,-114.3153,-0.08,69,0,0.0,US,1733104116
307,saint-philippe,-21.3585,55.7679,23.8,83,87,4.4,RE,1733104117
308,nishinoomote,30.7333,131.0,19.31,68,20,1.54,JP,1733104118
309,bushehr,28.9684,50.8385,15.05,63,0,3.09,IR,1733104119
310,white marsh,39.3837,-76.4322,0.4,71,40,1.79,US,1733104121
311,antsiranana,-12.2787,49.2917,23.33,91,22,1.98,MG,1733104122
312,flying fish cove,-10.4217,105.6791,28.08,73,14,2.68,CX,1733104123
313,tongliao,43.6125,122.2653,-7.16,41,0,6.3,CN,1733104124
314,hasaki,35.7333,140.8333,15.47,63,91,6.65,JP,1733103947
315,constitucion,-35.3333,-72.4167,11.3,82,0,6.44,CL,1733104127
316,rute,37.3269,-4.3683,14.71,56,100,1.94,ES,1733104128
317,kem',64.9555,34.5793,4.75,90,100,7.71,RU,1733104129
318,datong,40.0936,113.2914,-6.81,26,0,2.49,CN,1733103952
319,gandorhun,7.5,-11.8333,23.64,89,7,0.94,SL,1733104132
320,lubny,50.0163,32.9969,-1.61,86,23,0.59,UA,1733104133
321,kudat,6.8837,116.8477,29.96,79,20,2.24,MY,1733104134
322,penzance,50.1186,-5.5371,10.38,75,9,11.73,GB,1733104135
323,port blair,11.6667,92.75,28.02,78,40,1.03,IN,1733103962
324,ilhabela,-23.7781,-45.3581,22.67,95,72,4.59,BR,1733104138
325,adrar,20.5022,-10.0711,18.14,18,100,4.43,MR,1733104139
326,puerto armuelles,8.2833,-82.8667,26.16,85,100,0.45,PA,1733104140
327,suining,30.508,105.5733,12.95,61,17,1.51,CN,1733104141
328,al jumum,21.6169,39.6981,21.77,66,0,1.66,SA,1733104143
329,sosnovo-ozerskoye,52.5249,111.5418,-25.79,95,26,0.72,RU,1733104144
330,luderitz,-26.6481,15.1594,16.84,61,0,8.67,NA,1733104145
331,udachny,66.4167,112.4,-32.35,94,82,2.58,RU,1733104146
332,callao,-12.0667,-77.15,19.16,88,75,5.66,PE,1733104148
333,malvan,16.0667,73.4667,25.44,65,100,2.64,IN,1733104149
334,ad dabbah,18.05,30.95,14.96,37,4,4.17,SD,1733104151
335,sumbe,-11.2061,13.8437,24.91,89,95,1.87,AO,1733104153
336,patterson,37.4716,-121.1297,12.51,80,17,2.89,US,1733104154
337,al jawf,29.5,38.75,9.92,54,23,1.39,SA,1733104156
338,arraial do cabo,-22.9661,-42.0278,23.16,92,5,7.38,BR,1733104157
339,eirunepe,-6.6603,-69.8736,25.62,76,96,0.7,BR,1733104160
340,kharkhorin,47.1975,102.8238,-7.76,52,0,2.03,MN,1733103989
341,sabang,5.8933,95.3214,27.54,75,100,3.03,ID,1733104162
342,karwar,14.8,74.1333,26.63,67,100,1.71,IN,1733104163
343,dryden,49.7833,-92.7503,-8.84,86,100,2.57,CA,1733104164
344,kimbe,-5.5502,150.1429,30.18,71,76,2.49,PG,1733104166
345,zhangye,38.9342,100.4517,-5.56,58,100,1.57,CN,1733104167
346,whangarei,-35.7317,174.3239,23.71,47,21,3.29,NZ,1733104168
347,corfu,39.62,19.9197,8.88,93,75,1.03,GR,1733104169
348,markapur,15.7333,79.2833,23.31,94,100,4.14,IN,1733104171
349,teofilo otoni,-17.8575,-41.5053,21.6,98,100,1.35,BR,1733104172
350,malakanagiri,18.35,81.9,22.46,89,100,1.59,IN,1733104173
351,kudahuvadhoo,2.6708,72.8944,28.2,75,23,8.76,MV,1733104174
352,iaciara,-14.0958,-46.6317,21.32,96,95,0.34,BR,1733104176
353,novoazovs'k,47.1139,38.086,1.47,83,37,6.8,UA,1733104177
354,graaff-reinet,-32.2522,24.5308,14.4,82,100,1.23,ZA,1733104178
355,vilhena,-12.7406,-60.1458,21.14,94,67,1.81,BR,1733104179
356,rabo de peixe,37.8,-25.5833,17.77,99,20,3.09,PT,1733104182
357,kayangel,8.0823,134.7173,29.25,77,55,8.17,PW,1733104184
358,trebon,49.0036,14.7707,-0.5,96,8,1.67,CZ,1733104186
359,raahe,64.6833,24.4833,5.47,93,100,15.78,FI,1733104187
360,i-n-salah,27.1935,2.4607,15.37,32,100,5.1,DZ,1733104189
361,sharkan,57.2989,53.8712,-2.11,96,91,3.52,RU,1733104191
